acceptedname	phylum	occurences	sti	sd	speciesname	taxonrank	infraspecificepithet	taxon_uri
Ornithogalum umbellatum	Tracheophyta	11205	9.731820985	2.964450344	Ornithogalum umbellatum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/ornithogalumumbellatum
Centaurium pulchellum	Tracheophyta	11211	10.85424313	3.69021305	Centaurium pulchellum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/centauriumpulchellum
Bucklandiella heterosticha	Bryophyta	11215	6.496057838	3.204768268	Bucklandiella heterosticha	SPECIES		
Corallorhiza trifida	Tracheophyta	11239	3.248678221	3.233243127	Corallorhiza trifida	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/corallorhizatrifida
Quercus faginea	Tracheophyta	11245	13.36868265	2.490910454	Quercus faginea	SPECIES		
Acarospora fuscata	Ascomycota	11275	7.38436869	2.394756354	Acarospora fuscata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/acarosporafuscata
Chenopodium rubrum	Tracheophyta	11309	8.484293856	2.06264708	Chenopodium rubrum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/chenopodiumrubrum
Blackstonia perfoliata	Tracheophyta	11317	12.73647839	3.253579194	Blackstonia perfoliata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/blackstoniaperfoliata
Chiloscyphus polyanthos	Marchantiophyta	11328	6.566953862	3.373816869	Chiloscyphus polyanthos	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/chiloscyphuspolyanthos
Plagiochila asplenioides	Marchantiophyta	11346	6.410194325	2.972975567	Plagiochila asplenioides	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/plagiochilaasplenioides
Medicago falcata	Tracheophyta	11349	8.50716412	2.527896591	Medicago falcata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/medicagofalcata
Ranunculus aquatilis	Tracheophyta	11352	8.52836159	3.09845542	Ranunculus aquatilis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/ranunculusaquatilis
Geranium rotundifolium	Tracheophyta	11364	12.37354092	3.308263892	Geranium rotundifolium	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/geraniumrotundifolium
Lecidella scabra	Ascomycota	11366	8.059121287	2.39403574	Lecidella scabra	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/lecidellascabra
