"","species","STI","SD","5th_percentile","25th_percentile","75th_percentile","95th_percentile"
"1226","Carex rostrata",4.60876229996376,3.36888746493009,-0.87247434366862,1.69745133127872,7.4668622375201,9.11595179759902
"1227","Carex rotundata",-0.74399145665596,1.61594144390702,-2.67037641997529,-1.96989307380327,0.18934600306493,1.65803956508927
"1228","Carex rufina",0.827822368075665,1.25017392427591,-0.599255932996166,0.0363777044103567,1.46778480577779,2.51027684490756
"1229","Carex rupestris",0.273092674535402,3.11505703689723,-4.28747091338187,-1.09359132738923,1.76440080278031,4.95820639221172
"1230","Carex salina",2.85807790157592,1.94767654008206,0.186484505773428,1.86436730488486,3.97644487846374,4.76222142542413
"1231","Carex saxatilis",0.339367410611254,2.87431443888426,-4.06171876047167,-0.736286813178717,1.84145264370628,4.00383319745918
"1232","Carex sempervirens",6.41286658699079,2.31944034083996,3.74043780007351,4.932148011742,7.80657667384493,9.25762668580105
"1233","Carex spicata",8.16257240794318,1.81897235939942,5.50900600069795,6.75635019276516,9.67245531493815,10.7028966592284
"1234","Carex strigosa",9.43230283175832,0.914898325282354,8.27278506561679,8.95638444231656,9.91725052425646,10.5715939528617
"1235","Carex subspathacea",0.545978641022677,4.00030904496309,-6.03573470901504,-1.63233755082369,3.38388501156347,4.35687023402355
"1236","Carex sylvatica",8.63631118028377,1.72046733413448,5.75920106853038,7.6780778293762,9.90258993970383,10.8298760373753
"1237","Carex tenuiflora",0.982183087565088,2.32865218331396,-1.09281600719935,-0.223193209542531,2.15026442135573,3.27024496591067
"1238","Carex trinervis",9.98349031878841,1.62256691167867,9.02140905757151,9.48209304431256,10.2388810562816,11.3131736397516
"1239","Carex umbrosa",8.67545520335912,1.60799841588762,6.56007009113199,7.87402008846853,9.58125213697646,10.6895720264366
"1240","Carex utriculata",2.37039355254923,1.51832060919952,0.87592697069697,1.68911625789665,3.0962791895116,3.69331869771207
"1241","Carex vacillans",4.91238071980214,1.60000250936743,2.65655480571657,4.22263122499332,5.94354825189555,6.26126384575084
"1242","Carex vaginata",2.21503215180363,2.53416565548501,-1.59073972113646,0.288066026592095,4.20663563112004,6.25729875503714
"1243","Carex vesicaria",6.4863018984634,3.0049677557439,0.426785200403765,5.12549155454274,8.48703673437871,10.4829084435172
"1244","Carex viridula",6.22033095629414,2.56865931456857,1.60598708301567,4.79566996655919,7.8310535238349,9.87719514442078
"1245","Carex viridula subsp. brachyrhyncha",7.27881298710587,2.04148073430193,3.8562903831582,6.29205534329172,8.30739617943133,10.3525769872672
"1246","Carex viridula subsp. oedocarpa",7.08249687441099,2.16304645963225,3.17934081706735,6.0036932513965,8.30862389027508,10.3718895926462
"1247","Carex viridula var. jemtlandica",2.39549102383035,1.26527365370279,1.27245647880165,1.75781689398939,2.9723681408886,3.59080987555697
"1248","Carex vulpina",8.32283793679062,1.69035562140067,6.23121475760512,7.18754532042145,9.36784747446603,10.6920186123717
"1249","Carex x exsalina",2.45181245199587,1.64896948410526,0.579806205266064,1.72285787169298,3.30433955314182,3.95263023542337
"1250","Carex x stenolepis",0.860527932177268,1.60606521031675,-0.776418157863323,0.0479254713868695,1.56060985145306,2.72510559599656
"1251","Carlina acaulis",6.9098236204463,2.26355815305732,3.76491828054608,5.52708706071752,8.21055271051128,9.93253848841809
"1252","Carlina biebersteinii",6.15682763538335,1.51391683652871,4.34918787806686,5.45508479863991,6.87651706307374,7.88952177462736
"1253","Carlina corymbosa",13.8708873766928,1.72614394931134,12.0165200119095,12.9974468451567,14.7152417204691,15.7071397871815
"1254","Carlina curetum",19.3766806214766,0.292595121195771,19.0209193247207,19.2062352867653,19.5551642277289,19.5891306481455
"1255","Carlina gummifera",16.2053843916178,0.704508413648811,15.4854251147428,15.8625600747199,16.492478702417,16.9311022529427
"1256","Carlina hispanica",14.7207087103756,1.79397968318784,12.1398233095592,13.8029252510694,15.8977366995464,16.655767853844
"1257","Carlina libanotica",19.8014368416521,0.229577509535816,19.6469801592397,19.6738648939925,19.8530393002306,19.98370690035
"1258","Carlina racemosa",15.8608915014888,0.871204207707222,14.8471467849106,15.5711164434764,16.2848062682414,16.5729170895551
"1259","Carlina vulgaris",9.45876774836256,2.91355959427976,5.94184524469691,7.45006785661163,10.6837274814156,15.4930875430089
"1260","Carpinus betulus",8.97271219416682,1.3662018012892,7.04233785045396,7.98703228555324,9.93886002552789,10.8136450275629
"1261","Carpobrotus edulis",14.8547959977874,2.10768959819365,11.2343429452246,14.1462509947837,16.1407425435908,16.7840616521097
"1262","Carrichtera annua",17.3623679937031,1.85878393617425,15.3609021261039,16.3878587650262,18.4628340585951,19.3325094879015
"1263","Carthamus arborescens",15.7300885809448,0.321373485415681,15.4944152276871,15.5830424297221,15.8459786121339,16.0063162757046
"1264","Carthamus carduncellus",12.4031786907878,1.53391437994696,10.6088057725674,11.7064013214643,13.2216494936629,13.7162526608267
"1265","Carthamus glaucus",18.9734416204729,0.362293158832533,18.7374007821549,18.9191455000762,19.0396555668045,19.1632023639037
"1266","Carthamus lanatus",14.0070807829532,2.32784767054728,10.5591001803696,12.5474431428895,15.6710018817105,16.8432701968364
"1267","Carthamus mitissimus",10.9862535777551,0.822158516506387,10.1745589236804,10.6717952007253,11.291852776122,11.7993811649256
"1268","Carthamus tenuis",19.64562229636,0.365584400792912,19.3589714989453,19.5913054949974,19.7585336756238,19.8305582490189
"1269","Carthamus tinctorius",8.14540612767705,2.15133922566247,6.03387824038256,6.96405298345155,8.92880316121548,11.0431682073019
"1270","Carum carvi",5.2064621431299,2.73363729578783,0.222102344390257,3.46984968005887,7.22284311232921,8.80906031661942
"1271","Carum verticillatum",10.4439303271769,2.23295982649786,8.03344860143446,8.95582864069735,11.4379112337763,14.3575123221208
"1272","Cassiope tetragona",-4.06318647842438,2.18655245218726,-6.52075124871816,-4.87411085971342,-2.97082856121928,-2.25556273025163
"1273","Castanea sativa",10.1240053516167,1.98091499977332,7.45497060770805,8.86307623824344,11.1075705759483,13.7201480588512
"1274","Catabrosa aquatica",6.65143897621833,3.21362676802381,0.827505217672237,4.80573749876324,8.73434346009776,10.1776654476504
"1275","Catalpa bignonioides",9.64187405684734,1.74549215669579,8.01627857990704,8.7929938270436,10.4083520558662,11.5081076034656
"1276","Catananche caerulea",12.3481511570008,2.03285041093064,9.62850484877644,11.267058917035,13.5042701721157,14.5794918105893
"1277","Catananche lutea",18.2077176235808,1.27252104873311,17.2265428669075,17.9260119835315,18.6311813245591,18.8835143593737
"1278","Catapodium marinum",10.627964379233,2.99149920514339,8.04063721111532,8.60882068072827,11.8802593185272,15.8443562544896
"1279","Catapodium rigidum",12.2675025524787,2.99239155878294,8.73339493022466,9.92054090026162,14.4017054726664,17.3952783260367
"1280","Catena viridis",9.41020328918421,0.14550408549076,9.30418102192855,9.35952354277664,9.46065391992896,9.51541692552592
"1281","Catenella caespitosa",9.223861358606,1.16225776540447,7.97688594765847,8.54927560425527,9.67389542479508,10.5951655451218
"1282","Catillaria atomarioides",8.72860239899368,1.51065931836295,6.92348306074797,8.16388727217461,9.37365895685233,10.2100350548399
"1283","Catillaria chalybeia",8.76972656542331,2.0212484152723,6.61782568814127,7.80850764582425,9.59490287280802,11.173408011017
"1284","Catillaria lenticularis",9.07781288399876,1.22146888593989,7.28290509080198,8.5512783629709,9.69576226157231,10.0083472273765
"1285","Catillaria nigroclavata",9.35905092373143,3.64846726051427,4.55363408341791,7.25719945529432,11.5493855394721,14.265953180537
"1286","Catinaria atropurpurea",7.07560641827345,2.93431107435499,2.11082798803424,5.9281006254379,8.80949748083876,9.96906690620398
"1287","Catoscopium nigritum",1.17130499919755,4.22802143636022,-4.50338489300916,-1.53611512374009,3.82787573801865,7.18311495987014
"1288","Caucalis platycarpos",11.246478868671,2.2727105982574,8.1636423929105,10.0194788674895,12.6904284959125,13.7785864471516
"1289","Caulerpa prolifera",16.4497026613903,0.355187684987627,16.2599023441444,16.3758043082575,16.5245676110393,16.6229836739685
"1290","Caulerpa racemosa",15.6844125325506,0.7001441036003,15.3669650511758,15.562852580614,15.7943762649582,15.9817180100489
"1291","Cedrus atlantica",10.3761823931939,2.24088109656438,8.25129232800185,8.98078483345153,11.4459846477828,13.5177357849592
"1292","Cedrus deodara",9.80091894576142,2.00348136063067,8.320793700567,8.89498563868322,10.257550140702,12.1916200937204
"1293","Cedrus libani",10.0684378659457,2.01491393447528,8.31180803734353,8.88056097283534,10.8077657337815,12.8918587519297
"1294","Celtis australis",13.9088126392106,2.57682112291949,10.2694012877821,12.7588221031258,15.2829734051789,16.935174011396
"1295","Centaurea angustifolia",8.21263046723874,0.210941062565027,8.09693762848234,8.14033047057971,8.25229936155603,8.37223877083066
"1296","Centaurea aspera",13.9619331290171,2.03583111409077,11.0018669339503,12.9504581505039,15.1943508725373,16.3915910664074
"1297","Centaurea boissieri",14.8245098715287,0.597953252017772,14.4357708134005,14.557176310878,14.9985756537813,15.2995254370772
"1298","Centaurea calcitrapa",13.7649969870756,2.33476548169409,10.4911198798436,12.1972716532114,15.3340607865118,16.8304333448383
"1299","Centaurea debeauxii",10.2941617339295,0.836053049888117,9.29466790315256,9.86616796650036,10.8221629525374,11.109608337782
"1300","Centaurea decipiens",10.5693839278684,0.905734120741125,9.41717580634429,10.2365634542014,10.9675188678841,11.6068600272543
"1301","Centaurea hyalolepis",19.9082846552426,0.496672816735958,19.3887594859762,19.695523364125,20.2050716394283,20.2363401505592
"1302","Centaurea iberica",19.2195045832098,1.59939516374712,17.4996567240127,19.0579296262695,19.9211364423806,20.1422508515066
"1303","Centaurea jacea",7.82364772263366,2.46644737267638,3.5144128214359,6.40344811807092,9.53324172001664,10.9345656479718
"1304","Centaurea melitensis",15.0791436655972,1.75521960423979,12.4221654666223,14.1223715069515,16.3144403638282,16.9493868467347
"1305","Centaurea nemoralis",10.0990255013969,0.770809823358537,8.9584761568678,9.85940666400882,10.5071357040803,10.7520807371073
"1306","Centaurea nigra",8.61867263612324,1.55227243446835,6.57045683289489,7.51612358227854,9.65241801559812,10.9559104094161
"1307","Centaurea ornata",13.524997697229,1.95859910111618,11.1743824651713,12.416463848692,14.6589734031511,15.8956951055876
